"","Basal.Sample.1","Basal.Sample.15","Basal.Sample.16","Basal.Sample.17","Basal.Sample.18","Basal.Sample.3","Basal.Sample.4","Basal.Sample.5","Basal.Sample.7","HER2.Sample.19","HER2.Sample.20","HER2.Sample.21","HER2.Sample.28","HER2.Sample.29","HER2.Sample.30","HER2.Sample.37","HER2.Sample.38","HER2.Sample.39","LumA.Sample.10","LumA.Sample.11","LumA.Sample.12","LumA.Sample.13","LumA.Sample.14","LumA.Sample.2","LumA.Sample.6","LumA.Sample.8","LumA.Sample.9","LumB.Sample.22","LumB.Sample.23","LumB.Sample.24","LumB.Sample.31","LumB.Sample.32","LumB.Sample.33","LumB.Sample.40","LumB.Sample.41","LumB.Sample.42","Normal.Sample.25","Normal.Sample.26","Normal.Sample.27","Normal.Sample.34","Normal.Sample.35","Normal.Sample.36","Normal.Sample.43","Normal.Sample.44","Normal.Sample.45"
"P49588",-0.0634388641853285,0.46248173750239,0.300321087174774,-0.332162151775502,0.209864911184074,0.303885342418205,0.00520197026728679,-0.113084937521393,0.366686048404139,0.0167179370244274,-0.00817477410314805,0.0530462274551321,0.0670205884648074,0.344801394414588,0.0276913506672811,0.535626557183134,0.183131737849953,0.0848802901769821,-0.161352577855047,-0.588430969308784,0.781868472528562,-0.204428052298008,-0.124757978099493,-0.163632250139907,-0.0967891398966087,-0.434797376550496,0.118693694788298,-0.0168378641627116,0.393129668003187,0.00410718956760628,0.71152820499822,-0.181205879976024,-0.185693230144714,0.406697287376381,-0.114892485344576,0.457625321557148,0.0862840810780534,0.215200652650179,0.0238686082099809,-0.112611169876191,-0.0724396195751085,0.0212714868352048,-0.0454114400982367,0.430936077532183,0.0373893960879396
"Q5JTZ9",0.0303721323345633,-0.0458777985205659,0.134751091564188,0.247054872944337,-0.217937198833966,0.139857966286897,0.162211304783767,0.718237728261961,0.333620049437255,-0.291867351800461,0.0447654973180659,-0.405962738510461,-0.382337888089066,-0.402270546384048,0.0706953443641604,-0.376804328567525,-0.0734864357937408,-0.0463391897732787,0.0654847001595328,0.181062051622095,-0.121819246677982,0.0848169526068318,0.106915711759719,-0.042610855806601,0.0222134669351427,-0.165402456051435,0.0050528142174363,0.0388911946752692,-0.279959737106074,-0.117611248253066,0.388538736112521,-0.134704528590535,0.156486192137838,-0.0321062989588284,-0.0458530083961257,0.00730695527080957,-0.157617130323438,-0.123105535422613,-0.114760231303248,-0.15242997525542,-0.307409772081995,-0.366607204773677,1.66688419827859,-0.177564769196506,-0.171151743426704
"Q9NRN7",0.150349804272371,0.185563817748208,0.208834499164357,0.447910787245242,-0.170959453108184,0.422691956865295,0.659783116680831,0.225181318559945,-0.331543163404584,-0.0623345394330804,0.0734890625581574,-0.29023461462119,-0.0711236571037346,0.28432863685992,0.606551102080115,0.191988677239492,0.0889534777654231,0.475862664948025,-0.559616873301419,-0.236341099502752,0.227150346410499,-0.267114934217615,0.0362986388948641,-0.193103346764177,-0.050656142102552,0.231446029965943,-0.134738225506331,0.282900399084153,-0.153332505259357,0.390862609390974,0.118773176296735,-0.178406055287009,-0.229946918600253,0.196900724915373,0.162548164239478,0.964621332400748,0.183236520805458,0.156770367608956,-0.0240130710836992,-0.113938845703963,-0.298169405784508,-0.169203964976361,0.0402208052877797,0.372697380208645,-0.007556920525105
"A4D0W4",-0.31097622587872,-0.767739773723068,-0.0514111118683979,0.553786953483759,0.1612930658763,-0.21725062937642,0.234961540700808,0.93210694132802,-0.322299764250824,-0.681656214493511,-0.428176165973014,-0.215878310030003,-0.243895601411913,-0.437723677788399,-0.664055807334949,-0.297185286644291,-0.0858194082266643,-0.359308926226079,-0.162623336355281,0.176163348288604,-0.152587585303945,-0.234234958178497,0.369739107213484,1.36568877481928,0.3780616622635,-0.462947089005278,0.0467556510716811,0.0689438002324154,-0.613853160669211,-0.299478121881284,-0.43922692968553,-0.131568574689638,0.593166166002972,-0.178878305346133,-0.0503204173396559,-0.296037598677055,0.201024039688923,0.515099090122491,0.741821549918432,0.232511070100526,0.516100365263611,-0.323614126515365,-0.140130887404506,0.485600433087016,-0.153370132839053
"Q9NY61",0.231180963680409,0.0727775449782538,0.120563390501434,1.07327574491553,-0.0678086108878742,0.215381483348319,0.569972841249709,0.533159203359951,0.200090723713312,-0.19915900400995,0.222976014860532,-0.221744317114699,0.0196764720439354,-0.0534871766974876,0.29536688889039,0.120051960186944,-0.21072186451669,-0.152088701620478,-0.515146278270628,-0.425257602926512,-0.377220449825432,-0.470883518519354,-0.167049703767492,-0.226381183293644,0.213040599916477,-0.188859651891485,-0.181508079350118,-0.0352648750985423,-0.103173740754907,0.0299001981211704,0.424199793655576,0.000368586211907973,0.0267739874354492,-0.194961419417328,-0.3279694653386,-0.0274096259769042,-0.0683409094837633,-0.329687214782719,-0.313542308545534,-0.377010399410749,-0.31960164792614,0.000268179499915409,0.244144735823582,-0.113079468945578,-0.254845329851812
"P80404",-1.43489659512989,-1.74643845512303,-1.47670763287765,-1.49823987207205,-1.51241710537589,-0.293194793050385,-1.09885425602403,-1.23539442409389,-1.27421449909947,-0.46663746303326,-0.652629150312136,-0.30044625884598,0.575785000530908,-0.860191977137106,0.362883824516356,-1.02259171012582,6.95735327115585e-05,-0.441704953394046,0.708988912522417,0.391484440772949,-0.259646770510762,-0.462292414781129,-0.0686125053266778,1.14606587900081,0.262920093391187,0.732637450063639,0.104216099750251,0.0119298097292535,-0.031899617157909,-0.789264318548606,0.578453364739869,-0.61860265803829,0.770710891397637,0.594405662878907,0.535105680500115,-0.213628766010072,-0.394609020579975,0.158745934423758,-0.00183445910735745,-0.636014153952224,0.165329592377396,-0.664475086560363,-0.719671638743889,0.222182590295611,-0.805951707714183
"B2RUU2",0.579245847409842,0.281739873441679,0.40440114066529,0.540553458451801,0.119834460852529,-0.0425855306551598,-0.268996775828937,-0.0553881112431646,-0.0831374439367071,-0.0689801896048389,0.241500411786015,0.0183025292927931,0.399485327486685,-0.135346540886163,0.0682785257556933,0.289210432480839,-0.349384842077614,0.0788411867079242,-0.256546361956341,-0.119645948692588,-0.246993260650031,-0.201055468484735,0.0363301620707894,-0.24233615992222,-0.0968624008682131,-0.275488981358023,-0.207035728409727,0.622896916468629,-0.145246670060731,0.374915789765487,-0.0788097606146174,-0.116044230072527,-0.209178785641338,-0.0926587695594271,-0.27622992666066,-0.140645966913074,0.274561588185567,-0.424081277156178,-0.130773679110285,0.960363761605587,-0.230714027310483,-0.0446673762736858,-0.223728744697182,-0.238966510939402,0.0784111373897015
"Q9BZC7",-0.11796779734047,-0.187933491346712,-0.116439591281005,-0.859744254703278,-0.264486314738934,-0.103521906057617,-0.205249093330626,-0.0991277817526643,-0.146993515169167,0.00406166845720092,0.0886450298006476,0.12673504133557,0.0569912100559913,-0.401827177732151,0.226699693140316,-0.456473897204344,-0.103566094666437,-0.255117775073755,0.377782279616738,0.440335045857404,0.0903492963601002,0.746553674770333,-0.114129254035292,0.169699940213095,-0.0199202616204076,0.127883354555071,-0.108968370651106,-0.207148664162298,0.00697351537062905,0.163487651801558,-0.218338192785846,-0.151092598014389,0.00294884451555471,-0.24094347383536,-0.350465830409968,-0.0904290227280877,0.15853788926162,0.126733810166549,0.173263094661641,-0.0338610962367173,-0.327065629434209,0.177266954648929,-0.225626041380343,0.421567022263258,0.158305253255541
"Q4LE27",-0.473078944516553,-0.807942295791403,-0.967168191934196,0.389805343893057,-0.537723142700037,0.523141264783629,-0.485630755057001,0.636330971408483,-0.24503088618399,-0.0387663374505392,-0.298494900258349,0.129899308158991,0.334123253546704,-0.326445458612734,0.582017898496987,-0.543190447260822,0.0666024887370237,-0.0274078649951974,0.85824328545763,0.361480945586554,0.0958452701980434,0.464502642364192,0.262031588047736,0.485754819678881,-0.255142030836653,-0.225191382387359,1.75463571769817,-0.340474659989912,2.22206230803907,-0.0867024067246558,1.42129410472927,0.0210215228051405,0.381106850932767,0.328539553213676,0.698324770885777,1.68156861219783,0.200747580237823,-0.0262547114747568,0.0696763789336705,-0.140745418719753,-0.0143786724247819,0.225750364136192,0.362252959189765,0.0795170439029693,0.0640178643222874
"Q8N139",-0.610269061273964,-1.15715445148565,-0.12501319945793,-1.22277923592004,0.908309157747407,0.779313707430454,-1.00781571800151,-0.636199712624174,-0.995090043959708,-0.857603481086062,-0.0178082667626822,0.289981869781051,-0.162647999360097,-0.570747302891151,-0.531042633550559,-0.619613621812217,-0.100924394552842,0.21730531420011,0.19788565003969,0.932933632288901,0.2322593829754,0.0885156332330273,0.245705867252004,0.0307946620914656,0.369146674305139,0.106236404776707,-0.170012402812789,0.20597408757567,-1.00219111217663,-0.190284814670941,-0.516087958156313,0.108283037363166,-0.61516446950312,-0.0395939905209871,0.0375542439553044,0.062132496295393,0.673004117262132,-0.211158787043509,0.229108463017899,0.0675780707287956,-0.160962715916963,0.00649239096501816,-0.133734747962221,0.756723085023797,0.243413467594292
