"","cluster","Mean.of.log.A","Mean.of.log.B","Mean.of.log.C","Mean.of.log.D","Mean.of.log.E","isClusterMember","maxMembership","membership.of.cluster.1","membership.of.cluster.2","membership.of.cluster.3","membership.of.cluster.4","membership.of.cluster.5","membership.of.cluster.6","membership.of.cluster.7"
"DNAJC2",2,1.21661230904768,0.691837317240896,-1.01731300878062,0.106349992528274,-0.997486610036229,FALSE,0.348961106027246,0.0319198913069378,0.348961106027246,0.123838827493571,0.035911862819119,0.0432062468929798,0.0824583926015506,0.333703672858596
"MRPS18B",2,1.60954820052881,-0.605265693403547,0.0434916241417414,-0.0278017936708292,-1.01997233759617,FALSE,0.348965275460094,0.0504083270483584,0.348965275460094,0.207565993165334,0.0582456133088921,0.0516528301395686,0.152480103837894,0.13068185703986
"EPB41L1",1,-1.33066048539503,-0.682375246645999,0.290294799473911,1.17403439480774,0.54870653775938,FALSE,0.348969477041014,0.348969477041014,0.0536764775939105,0.0538243081135639,0.123075482834322,0.227656630449312,0.12084409585241,0.0719535281154686
"CD300A",7,0.627134475179033,0.0211190086990728,-1.71030447647581,0.773036632221772,0.289014360375932,FALSE,0.348994579287881,0.0517077557481959,0.209323224907515,0.154216820206079,0.0654560147892092,0.0694436266263698,0.10085797843475,0.348994579287881
"SMS",5,-1.31146307253226,0.549879267858641,-0.766552790928859,1.09760502102141,0.430531574581066,FALSE,0.34899596325982,0.165229282318639,0.070285130518762,0.0652464102094278,0.105461917192264,0.34899596325982,0.113186952868546,0.13159434363254
"LSM12",6,0.172411527117564,-0.026990251104928,-0.738734131147163,1.57098126902383,-0.977668413889299,FALSE,0.349012579352185,0.0703146656836845,0.135524378149295,0.0696699911656843,0.0465994859007769,0.0996307108671811,0.349012579352185,0.229248188881193
"SEL1L",6,0.15379565341755,0.528085069764924,0.224767953496685,0.818671438324031,-1.72532011500319,FALSE,0.349017861909984,0.0978660614367103,0.123645688712636,0.0743834134697346,0.0568419045513868,0.133000867513562,0.349017861909984,0.165244202405986
"CTSL",7,0.439646760958251,0.642675463705215,-1.77017547021802,0.235329351037485,0.452523894517069,FALSE,0.349050175028418,0.0572735688377955,0.173184554156747,0.168937189324742,0.0827465892959967,0.0823194558415692,0.086488467514731,0.349050175028418
"SASH3",7,0.857293842481623,0.112906653181446,-1.71251261755602,0.519625328586753,0.222686793306199,FALSE,0.349074017773172,0.0416865370729114,0.239142498726168,0.175163644766766,0.0565832280038091,0.0554424287603536,0.0829076448968211,0.349074017773172
"HNMT",5,-1.76210716365727,0.46148256390487,0.295155988638975,0.291296885260666,0.714171725852757,FALSE,0.349104390003566,0.297029733517784,0.0387053713639557,0.0426788044941965,0.14959353900891,0.349104390003566,0.0648184353807591,0.058069726230829
"RUVBL2",6,0.342668951313639,-1.21327921119505,1.08351161277075,0.672609859536773,-0.885511212426115,FALSE,0.349167924688746,0.144713874308998,0.11315376974419,0.0967226196189805,0.0941682751142763,0.105585441579551,0.349167924688746,0.096488094945258
"PDLIM3",7,-0.0998088922414667,1.5138846549665,-1.20474882978462,0.23064446006296,-0.439971393003372,FALSE,0.349203926491386,0.0789742608268775,0.133666773026889,0.106312472284174,0.0796228615887999,0.142244753677182,0.109974952104691,0.349203926491386
"SLC27A1",1,-1.05606967534733,-1.13168280658817,0.798215340330433,0.721753775968274,0.667783365636797,FALSE,0.349220000662137,0.349220000662137,0.0579575103178322,0.0640473949715825,0.181800974395826,0.159402383556594,0.12029869212957,0.0672730439664577
"PHF5A",6,0.851730029936457,-0.412625824291958,-0.540652149763856,1.23543323651299,-1.13388529239363,FALSE,0.349247711306968,0.0513495991752509,0.221261500088253,0.085330947444823,0.0410396555436159,0.06130593877147,0.349247711306968,0.190464647669619
"HERPUD2",7,1.04783271101815,-0.0451445990113486,-1.36383858000675,0.878693444734138,-0.51754297673419,FALSE,0.349275237362445,0.0315729496581214,0.342329822276033,0.105007991102095,0.0339346211549978,0.0411539961716945,0.0967253822746124,0.349275237362445
"RERE",1,-0.999024473334524,0.0384986461136828,1.14680942325296,0.820079235904254,-1.00636283193637,FALSE,0.349297342294006,0.349297342294006,0.0497846027472485,0.0429322601242358,0.0682432755184175,0.249972308064673,0.175197173788578,0.0645730374628421
"C11orf54",4,-1.39493634366505,-0.445810395718262,0.456190334944428,0.105423088942397,1.27913331549649,FALSE,0.34931071100944,0.250341012239718,0.047137772112307,0.0588105721146716,0.34931071100944,0.161965870212548,0.0721737157742566,0.0602603465370591
"TUBA4A",3,1.24125993866915,-1.06658694308135,0.285820347624917,-0.983222676142826,0.5227293329301,FALSE,0.349328646394687,0.0727059676351894,0.147707654884086,0.349328646394687,0.17171622504123,0.0645054183677498,0.0956233016335263,0.0984127860435321
"PDE12",6,-0.251363597999574,-0.497723773014187,1.20738960591757,0.801935022897325,-1.26023725780113,FALSE,0.34935893741456,0.19417161124214,0.0811261675190799,0.0657088056247871,0.0772348521887469,0.145635169489476,0.34935893741456,0.0867644565212103
"FAM83G",2,1.39374844623006,-0.805122828486233,-0.194251051979392,0.607096056316593,-1.00147062208103,FALSE,0.349376671470499,0.0489713622044392,0.349376671470499,0.145007325041368,0.0491724464034652,0.0511108101922054,0.215829781383578,0.140531603304446
"ELP2",1,-0.731047490678907,-0.361871320548371,1.73350166336051,-0.0708746046216379,-0.569708247511592,FALSE,0.349392416516633,0.349392416516633,0.0636490545868976,0.0666377876653225,0.140076293090576,0.168772774879685,0.141891646216859,0.069580027044027
"VPS33A",5,-1.10202736027455,0.240012340629498,0.547656440486646,1.24772766966147,-0.933369090503063,FALSE,0.349439317574983,0.244372934061143,0.0498220966807211,0.0399772351303717,0.0567343084917449,0.349439317574983,0.185449670802384,0.0742044372586521
"LMAN1",2,1.66073920036702,0.219668501658321,-0.722094409228724,-0.605857580553012,-0.5524557122436,FALSE,0.349510422269164,0.0290260074797522,0.349510422269164,0.347531864920654,0.0433194689733945,0.0339749927691773,0.060679906492182,0.135957337095677
"TTC37",1,-1.21840951874611,0.0278484117741237,0.768101440874372,1.16921908204318,-0.746759415945562,FALSE,0.349520848523863,0.349520848523863,0.0404411855598371,0.0343375884824432,0.0558825769775092,0.316647780049378,0.146111337523335,0.0570586828836343
"COQ10B",5,-1.34620525217264,0.99361740400446,0.968136981585027,-0.115789814000611,-0.499759319416239,FALSE,0.349558228375044,0.276164604419657,0.0505708319770668,0.0509612647098802,0.108948175380111,0.349558228375044,0.0921037578091831,0.0716931373290588
"FAM208B",6,1.02757240705561,-0.495034293094623,-0.291083175399573,1.01618860902932,-1.25764354759073,FALSE,0.34960456756101,0.0510275414742386,0.243983648027687,0.0934327451779616,0.0420331393523501,0.0577141979727044,0.34960456756101,0.162204160434048
"BCAS4",5,-1.13451641146846,0.0836582262438653,-0.0691349160840438,1.5783044370961,-0.458311335787457,FALSE,0.349629848547659,0.200422900296688,0.0580522360161008,0.0460799532282211,0.0635295179117812,0.349629848547659,0.186579006506417,0.0957065374931329
"ATG4A",5,-0.964299604620709,0.843709345118935,0.673839496579986,0.659104719243017,-1.21235395632123,FALSE,0.349651593872683,0.206534609908892,0.0629118796595165,0.0516157395456071,0.0700448097845248,0.349651593872683,0.164543579156838,0.0946977880719383
"ABHD6",6,0.280291168944958,0.309425334259233,-0.529054755043282,1.30082538373663,-1.36148713189754,FALSE,0.349707334317387,0.0660477109687639,0.140037717802481,0.0674030122699378,0.0429756959741451,0.097062481646546,0.349707334317387,0.236766047020739
"TMEM102",5,-1.23731864661394,0.0250044230691821,0.51870406146115,1.33645550258451,-0.642845340500901,FALSE,0.349799541997183,0.296316253941045,0.0432613622340118,0.0361115048227577,0.0565443294055956,0.349799541997183,0.154385631941263,0.0635813756581442
"EEF1D",3,1.33408522890804,0.639385649819967,-1.12904709017273,-0.722319786249142,-0.122104002306138,FALSE,0.349826294716025,0.0370100703063452,0.244876244242322,0.349826294716025,0.0613365773084573,0.0465219704872369,0.063177071086404,0.197251771853209
"RPL27A",2,1.16372692064022,0.148508151289407,-1.540190841703,0.449771897508679,-0.221816127735299,FALSE,0.349868380925897,0.0282158797540705,0.349868380925897,0.147317356738976,0.0358951063387513,0.0368699332501956,0.0668870685748616,0.334946274417248
"PTPRB",4,0.591874866526463,-0.81372068083406,0.601197320122259,-1.31975335992225,0.940401854107586,FALSE,0.349950522044542,0.0936065883097156,0.101663410544861,0.205324317457788,0.349950522044542,0.0780712957499623,0.0851049504191166,0.0862789154740155
"SDF4",6,-0.365663502900775,0.495586174846838,0.169692451041633,1.18192146632019,-1.48153658930788,FALSE,0.350011153718271,0.121585528546501,0.0887694947377086,0.0579791567028891,0.0545980834627011,0.188564323742567,0.350011153718271,0.138492259089362
"MYO10",2,1.48215650275674,0.457163753665264,-1.12248150651653,-0.426250520813177,-0.390588229092301,FALSE,0.350023820843483,0.0292741035694003,0.350023820843483,0.287785618982277,0.0431240775124267,0.0364984392822007,0.0588279341738256,0.194466005636387
"SNRPD3",6,1.06913781551574,-0.657489519305749,-0.210178113771009,0.985584821771845,-1.18705500421082,FALSE,0.350026041988962,0.0535767823747754,0.242890187453239,0.100362534927289,0.045101911156489,0.0582470176570363,0.350026041988962,0.14979552444221
"ASCC2",2,1.24190553909437,0.640410571503676,-1.25476163152493,0.057844791446252,-0.685399270519369,FALSE,0.350047607544973,0.0282629864452347,0.350047607544973,0.139086154283985,0.0347483154254331,0.0380889766350121,0.0660578222688923,0.34370813739647
"UBE2F",1,-1.66940703884351,-0.049731559002289,0.207839598804819,0.868337741179609,0.642961257861375,FALSE,0.350080885012249,0.350080885012249,0.0392194237266557,0.0406051445001741,0.113597569847256,0.321361941013746,0.0772474461051578,0.057887589794761
"RGN",4,0.497287985815138,-1.17366903549044,0.252263585906572,-0.84189357395865,1.26601103772738,FALSE,0.350120987432978,0.0930915263487849,0.102085973952286,0.202803138735861,0.350120987432978,0.0771136863677906,0.087038924642221,0.087745762520078
"NUDCD3",5,-0.946502409132028,1.51038693258041,-0.25248937409915,0.440385536076516,-0.751780685425752,FALSE,0.35013020240057,0.139032472595047,0.0798655221448714,0.0671109496674855,0.083302764109244,0.35013020240057,0.124868107199499,0.155689981883284
"OGG1",2,1.65126413254365,-0.576222626377691,0.0364338520241956,-0.15431639919081,-0.957158958999348,FALSE,0.350250023317968,0.0478951578234805,0.350250023317968,0.230935419139611,0.0581706627906328,0.04907507777576,0.136945702749765,0.126727956402783
"RNF5",6,-0.172772099364935,-0.550174689962955,-0.579753504014359,1.76553807059852,-0.462837777256273,FALSE,0.350257856883165,0.105078364774419,0.113235498242047,0.0744873907824838,0.0638888006219191,0.13001923169833,0.350257856883165,0.163032856997635
"RBPMS2",3,1.2738799202274,-1.32357115920698,0.11730635860828,-0.585777962728216,0.51816284309951,FALSE,0.350259991880139,0.0705024434206266,0.162824742401265,0.350259991880139,0.147906384577579,0.0623747444280651,0.10433774725991,0.101793946032416
"C1orf43",6,0.427085274676563,0.100258651244777,-0.62298863444778,1.35450854023508,-1.25886383170864,FALSE,0.350285448291178,0.0601776270142912,0.156089118190239,0.0706079210895216,0.041896158577629,0.0832922528311322,0.350285448291178,0.237651474006009
"D2HGDH",5,-1.00554788066702,0.483657560238829,0.524853477569819,1.11195303132836,-1.11491618846998,FALSE,0.350290405648588,0.209857802130012,0.0562939105530494,0.0441892891762558,0.0587547245234904,0.350290405648588,0.194711183469828,0.085902684498776
"PCID2",7,0.919093327083766,0.71629258430232,-0.752685716177531,0.476821124209853,-1.35952131941841,FALSE,0.350462751910036,0.0459612547287259,0.254841271918454,0.099288950646597,0.0421399409916353,0.0643402167327416,0.142965613071811,0.350462751910036
"PHLDB3",1,-1.22553169912917,0.576343009298313,1.22185108067542,0.218153501952646,-0.790815892797205,FALSE,0.350470112426667,0.350470112426667,0.0464075088358678,0.0441795758331141,0.0854601153322504,0.303738252154472,0.10734378179263,0.0624006536249982
"FAM136A",2,1.4631955017437,0.0809539131569945,-1.35128007432771,-0.159475359844675,-0.0333939807283176,FALSE,0.350481633617023,0.0249728315928103,0.350481633617023,0.333041543320898,0.0385605905065527,0.0305094652392038,0.0510572882899718,0.17137664743354
"PRPS2",2,1.67870175532912,-0.935400007221376,-0.484611836844831,0.00972045279285058,-0.268410364055768,FALSE,0.350545841997896,0.034824019697673,0.350545841997896,0.334545709961706,0.0500502720830344,0.0356969465672893,0.0885203890451014,0.1058168206473
"EIF4E2",5,-1.11733093059329,0.424323570776772,-0.610242075198544,1.47317695673113,-0.169927521716062,FALSE,0.350559307309049,0.15653449879923,0.0709185027294412,0.0570640230451179,0.0746161035225997,0.350559307309049,0.153670941498171,0.136636623096391
"ULK3",5,-1.2688681940291,0.798510271796593,1.05740336097295,0.187071605735046,-0.774117044475492,FALSE,0.350621909312544,0.299046605265115,0.0480547017024842,0.045581112684388,0.0859191595918727,0.350621909312544,0.103506921009137,0.0672695904344587
"ATXN1",1,-1.26912361093829,0.604810268111923,1.33515658031886,-0.246339125707821,-0.424504111784672,FALSE,0.350651065979652,0.350651065979652,0.0499105175119315,0.0524159796344612,0.127662191881507,0.260763143976088,0.0939115100220067,0.0646855909943531
"TAPBP",2,1.43640741445596,0.0427059514853528,-1.38789257290441,-0.0930631674560064,0.00184237441910482,FALSE,0.350666912170909,0.0261150828349325,0.350666912170909,0.318923628762275,0.0399429473146878,0.0318861847808748,0.0533627040346183,0.179102540101702
"PRKCD",5,-0.944354626587802,0.992766719674657,0.604650056144167,0.552036453743683,-1.20509860297471,FALSE,0.350689553825365,0.194178895051051,0.0665996774215545,0.0549981599038681,0.0736443975895238,0.350689553825365,0.157562079358545,0.102327236850093
"C1orf50",5,-1.43347896681052,-0.136421309956042,0.323910965446388,1.34596224912581,-0.099972937805641,FALSE,0.350732099308666,0.339830939147693,0.0392297761235502,0.0351777870179265,0.0652061418498793,0.350732099308666,0.111591346133104,0.0582319104191806
"MGAT1",3,1.4623891112759,0.518783713080035,-1.03633310116916,-0.662069800203807,-0.282769922982969,FALSE,0.350737314947987,0.0337352902082648,0.27977317259084,0.350737314947987,0.053124127122207,0.0414996263741246,0.0615809516559239,0.179549517100652
"ATF3",2,1.45106482109964,-0.140289300608178,-1.3669739081662,-0.0195085896970793,0.0757069773718159,FALSE,0.350739651908346,0.025213158786865,0.350739651908346,0.340885755385654,0.0391630440116736,0.0302345391686997,0.0529386222615812,0.160825228477181
"AGRN",4,0.484396869434502,-0.899406902506296,-0.127062697139,-0.910775918039171,1.45284864824997,FALSE,0.350755263039241,0.0821915622690171,0.101852622416702,0.222563180205782,0.350755263039241,0.0737153086880312,0.0773816771697163,0.0915403862115102
"ACOT11",2,1.09971276460451,-0.401200350728206,-1.39059781663255,0.823754290082083,-0.131668887325834,FALSE,0.350772147751508,0.0379300524777705,0.350772147751508,0.155568392227873,0.0453740553678197,0.046480220903652,0.10297101411452,0.260904117156857
"MX1",2,1.11977690889359,-0.599729961839938,-1.2592082290441,0.883214062167818,-0.144052780177362,FALSE,0.350865626654471,0.0417621482255092,0.350865626654471,0.161702854620208,0.049094421648517,0.0493587459803401,0.119356573843368,0.227859629027587
"KAT2B",5,-1.48324932479062,-0.13479625821238,0.0594139150704013,1.31016659351881,0.248465074413786,FALSE,0.350910982544636,0.296575444011265,0.0460408177803909,0.0429412968506733,0.0847049966900578,0.350910982544636,0.108842453908127,0.0699840082148495
"ANAPC16",7,1.05937542055301,-0.0403562852837313,-1.41747500649409,0.826713454917056,-0.428257583692237,FALSE,0.350937797835704,0.0305640404702055,0.344169154439754,0.110988558473116,0.0340031703669652,0.0399172665908654,0.0894200118233902,0.350937797835704
"FBXO28",5,-0.902037614136474,0.830206259112979,-0.150810888901733,1.21801823531641,-0.995375991391182,FALSE,0.350955469367894,0.144020504262879,0.0711315956214507,0.0523231171517135,0.0600640407127434,0.350955469367894,0.18757792024001,0.133927352643309
"LAMTOR5",5,-1.66379622140054,0.297070079377998,-0.125951221193075,0.663801004927939,0.828876358287683,FALSE,0.350962284090176,0.24959273359488,0.0479694845987595,0.0511686478887699,0.145029264151899,0.350962284090176,0.0799452394539017,0.0753323462216137
"WTAP",6,0.205176908251837,0.496871164392651,-0.191043499198972,1.07565529724091,-1.58665987068643,FALSE,0.351001302281399,0.0802391952410573,0.131307643668749,0.0707292635953283,0.0494253317688541,0.116637004875189,0.351001302281399,0.200660258569424
"AASS",4,0.201340626720015,-1.44912996402946,0.707266007386255,-0.508576045695853,1.04909937561904,FALSE,0.351017239785294,0.125893231690755,0.094082172537686,0.150232122780486,0.351017239785294,0.0905080451115264,0.104891350216449,0.0833758378778031
"LGALSL",3,1.0195517555399,-0.434859137233289,-0.0159772163171063,-1.42660064206923,0.857885240079719,FALSE,0.351021774887237,0.067978112324125,0.125585399307403,0.351021774887237,0.215705251049932,0.0651886459577147,0.075443525978015,0.099077290495574
"PPOX",6,0.587034363053939,-1.24898069444039,0.928131439014991,0.641046534999689,-0.907231642628229,FALSE,0.351025016396307,0.121321345918847,0.131112064847543,0.10846720607278,0.0898633306621931,0.0950880987711491,0.351025016396307,0.103122937331181
"MRPL11",2,1.11074636135609,-0.571666838489491,-0.834721747115816,1.06949811330725,-0.77385588905803,FALSE,0.351046324891662,0.0430279608172293,0.351046324891662,0.112339074467979,0.0413007202597873,0.050355901626269,0.19584108402773,0.206088933909344
"SH2D1A",7,1.10529445564924,0.533782797822132,-1.57329479791101,0.0564953041936449,-0.122277759754004,FALSE,0.351047507827451,0.0335025331228241,0.271792885326721,0.186668725086193,0.0464211422473099,0.0449482104869508,0.0656189959025505,0.351047507827451
"HSD11B1",3,1.21680656895944,-0.597803361880873,-1.34903546936291,0.17053905707705,0.559493205207291,FALSE,0.351050255712333,0.042144227154337,0.245320544767436,0.351050255712333,0.0702681306885991,0.0477353980754244,0.0784250244385327,0.165056419163338
"GTF3A",6,0.199621372442985,0.295438237733262,-0.541386370940425,1.36082837363106,-1.31450161286688,FALSE,0.351074668494589,0.0701796700386276,0.133215595372572,0.0671772362859208,0.0449036809447263,0.103740959121119,0.351074668494589,0.229708189742446
